No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
395,Rhonbrau Klosterbier,24 - 0.5 l bottles,12,7.75,93,11/26/1996,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
396,Lakkalikoori,500 ml,12,18,216,11/26/1996,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
397,Gudbrandsdalsost,10 kg pkg.,30,36,1080,11/26/1996,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
398,Fløtemysost,10 - 500 g pkgs.,5,21.5,107.5,11/26/1996,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
399,Mozzarella di Giovanni,24 - 200 g pkgs.,21,34.8,730.8,12/27/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
400,Sir Rodney's Scones,24 pkgs. x 4 pieces,10,10,100,12/27/1996,Princesa Isabel Vinhoss,Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
401,Manjimup Dried Apples,50 - 300 g pkgs.,18,53,954,12/27/1996,Princesa Isabel Vinhoss,Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Produce,Dried fruit and bean curd
402,Steeleye Stout,24 - 12 oz bottles,30,18,540,12/30/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
403,Pâté chinois,24 boxes x 2 pies,120,24,2880,12/30/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
404,Scottish Longbreads,10 boxes x 8 pieces,60,12.5,750,12/31/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
405,Original Frankfurter grüne Sope,12 boxes,14,13,182,12/31/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
406,Thuringer Rostbratwurst,50 bags x 30 sausgs.,21,123.79,2599.59,1/1/1997,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
407,Tofu,40 - 100 g pkgs.,35,23.25,813.75,1/27/1997,Piccolo und mehr,Georg Pipps,Geislweg 14,Salzburg,5020,Austria,United Package,(503) 555-3199,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
408,Steeleye Stout,24 - 12 oz bottles,35,18,630,1/1/1997,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,Federal Shipping,(503) 555-9931,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
409,Maxilaku,24 - 50 g pkgs.,30,20,600,1/1/1997,Eastern Connection,Ann Devon,35 King George,London,WX3 6FW,UK,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
410,Nord-Ost Matjeshering,10 - 200 g glasses,18,25.89,466.02,1/1/1997,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Speedy Express,(503) 555-9831,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
411,Gnocchi di nonna Alice,24 - 250 g pkgs.,70,38,2660,1/1/1997,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
412,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,20,21.05,421,1/1/1997,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
413,Fløtemysost,10 - 500 g pkgs.,60,21.5,1290,1/1/1997,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
414,Tunnbrod,12 - 250 g pkgs.,60,9,540,1/2/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43,Grains/Cereals,"Breads, crackers, pasta, and cereal"
415,Vegie-spread,15 - 625 g jars,65,43.9,2853.5,1/2/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
416,Pavlova,32 - 500 g boxes,21,17.45,366.45,1/3/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
417,Chocolade,10 pkgs.,70,12.75,892.5,1/3/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931,Zaanse Snoepfabriek,Dirk Luchte,Verkoop Rijnweg 22,Zaandam,9999 ZZ,Netherlands,(12345) 1212,Confections,"Desserts, candies, and sweet breads"
418,Gumbar Gummibarchen,100 - 250 g bags,30,31.23,936.9,1/3/1997,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
419,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,40,14,560,1/3/1997,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Grains/Cereals,"Breads, crackers, pasta, and cereal"
420,Maxilaku,24 - 50 g pkgs.,30,20,600,1/3/1997,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
421,Aniseed Syrup,12 - 550 ml bottles,50,10,500,1/6/1997,LINO-Delicateses,Felipe Izquierdo,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,Venezuela,Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
422,Chais,10 boxes x 20 bags,10,18,180,1/7/1997,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
423,Sir Rodney's Scones,24 pkgs. x 4 pieces,30,10,300,1/7/1997,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
424,Rossle Sauerkraut,25 - 825 g cans,42,45.6,1915.2,1/7/1997,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
425,Inlagd Sill,24 - 250 g jars,5,19,95,1/7/1997,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Speedy Express,(503) 555-9831,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
426,Boston Crab Meat,24 - 4 oz tins,2,18.4,36.8,1/7/1997,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Speedy Express,(503) 555-9831,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
427,Queso Cabrales,1 kg pkg.,30,21,630,1/7/1997,Ottilies Käseladen,Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,United Package,(503) 555-3199,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
428,Gudbrandsdalsost,10 kg pkg.,15,36,540,1/7/1997,Ottilies Käseladen,Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
429,Fløtemysost,10 - 500 g pkgs.,15,21.5,322.5,1/7/1997,Ottilies Käseladen,Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
430,Gravad lax,12 - 500 g pkgs.,10,26,260,1/8/1997,Folies gourmandes,Martine Rancé,"184, chaussée de Tournai",Lille,59000,France,Speedy Express,(503) 555-9831,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
431,Tourtière,16 pies,6,7.45,44.7,1/8/1997,Folies gourmandes,Martine Rancé,"184, chaussée de Tournai",Lille,59000,France,Speedy Express,(503) 555-9831,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
432,Tarte au sucre,48 pies,35,49.3,1725.5,1/8/1997,Folies gourmandes,Martine Rancé,"184, chaussée de Tournai",Lille,59000,France,Speedy Express,(503) 555-9831,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
433,Tofu,40 - 100 g pkgs.,12,23.25,279,1/9/1997,Océano Atlántico Ltda.,Yvonne Moncada,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,Argentina,Speedy Express,(503) 555-9831,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
434,Sir Rodney's Scones,24 pkgs. x 4 pieces,12,10,120,1/9/1997,Océano Atlántico Ltda.,Yvonne Moncada,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,Argentina,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
435,Geitost,500 g,49,2.5,122.5,1/10/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
436,Raclette Courdavault,5 kg pkg.,16,55,880,1/10/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
437,Jack's New England Clam Chowder,12 - 12 oz cans,25,9.65,241.25,1/10/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Federal Shipping,(503) 555-9931,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
438,Gula Malacca,20 - 2 kg bags,40,19.45,778,1/10/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Federal Shipping,(503) 555-9931,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
439,Raclette Courdavault,5 kg pkg.,9,55,495,1/10/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
440,Tofu,40 - 100 g pkgs.,20,23.25,465,1/13/1997,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,United Package,(503) 555-3199,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
441,Chais,10 boxes x 20 bags,24,18,432,1/14/1997,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
442,Tarte au sucre,48 pies,40,49.3,1972,1/14/1997,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
443,Lakkalikoori,500 ml,14,18,252,1/14/1997,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
444,Teatime Chocolate Biscuits,10 boxes x 12 pieces,18,9.2,165.6,1/14/1997,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
445,Geitost,500 g,50,2.5,125,1/14/1997,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
446,Alice Mutton,20 - 1 kg tins,2,39,78,1/15/1997,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
447,Geitost,500 g,20,2.5,50,1/15/1997,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
448,Teatime Chocolate Biscuits,10 boxes x 12 pieces,20,9.2,184,1/16/1997,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
449,Perth Pasties,48 pieces,10,32.8,328,1/16/1997,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
450,Ravioli Angelo,24 - 250 g pkgs.,20,19.5,390,1/16/1997,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
451,Cote de Blaye,12 - 75 cl bottles,50,263.5,13175,1/16/1997,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
452,Spegesild,4 - 450 g glasses,2,12,24,1/16/1997,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,Federal Shipping,(503) 555-9931,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
453,Scottish Longbreads,10 boxes x 8 pieces,36,12.5,450,1/16/1997,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
454,Original Frankfurter grüne Sope,12 boxes,35,13,455,1/16/1997,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
455,Chang,24 - 12 oz bottles,60,19,1140,1/17/1997,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
456,Zaanse koeken,10 - 4 oz boxes,55,9.5,522.5,1/17/1997,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Speedy Express,(503) 555-9831,Zaanse Snoepfabriek,Dirk Luchte,Verkoop Rijnweg 22,Zaandam,9999 ZZ,Netherlands,(12345) 1212,Confections,"Desserts, candies, and sweet breads"
457,Sirop d'erable,24 - 500 ml bottles,16,28.5,456,1/17/1997,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Speedy Express,(503) 555-9831,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
458,Longlife Tofu,5 kg pkg.,15,10,150,1/17/1997,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Speedy Express,(503) 555-9831,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
459,Camembert Pierrot,15 - 300 g rounds,60,34,2040,1/20/1997,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
460,Gudbrandsdalsost,10 kg pkg.,20,36,720,1/20/1997,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
461,Mishi Kobe Niku,18 - 500 g pkgs.,20,97,1940,1/21/1997,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Speedy Express,(503) 555-9831,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Meat/Poultry,Prepared meats
462,Konbu,2 kg box,2,6,12,1/21/1997,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Speedy Express,(503) 555-9831,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
463,Outback Lager,24 - 355 ml bottles,8,15,120,1/21/1997,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
464,Rod Kaviar,24 - 150 g jars,20,15,300,1/21/1997,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Speedy Express,(503) 555-9831,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
465,Teatime Chocolate Biscuits,10 boxes x 12 pieces,4,9.2,36.8,1/21/1997,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
466,Gumbar Gummibarchen,100 - 250 g bags,30,31.23,936.9,1/21/1997,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
467,Perth Pasties,48 pieces,15,32.8,492,1/21/1997,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
468,Original Frankfurter grüne Sope,12 boxes,10,13,130,1/21/1997,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
469,Gumbar Gummibarchen,100 - 250 g bags,2,31.23,62.46,1/22/1997,Franchi S.p.A.,Paolo Accorti,Via Monte Bianco 34,Torino,10100,Italy,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
470,Gorgonzola Telino,12 - 100 g pkgs,14,12.5,175,1/23/1997,Gourmet Lanchonetes,André Fonseca,"Av. Brasil, 442",Campinas,04876-786,Brazil,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
471,Raclette Courdavault,5 kg pkg.,20,55,1100,1/23/1997,Gourmet Lanchonetes,André Fonseca,"Av. Brasil, 442",Campinas,04876-786,Brazil,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
472,Steeleye Stout,24 - 12 oz bottles,60,18,1080,1/23/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
473,Cote de Blaye,12 - 75 cl bottles,49,263.5,12911.5,1/23/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
